,names,links,brand
24,Yonex Percept 100 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_100_Tennisschl_xE4_ger/descpageRCYONEX-PERC1-DE.html,Yonex
25,Yonex Percept 100D Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_100D_Tennisschl_xE4_ger/descpageRCYONEX-PERCY-DE.html,Yonex
26,Yonex Percept 97 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_97_Tennisschl_xE4_ger/descpageRCYONEX-PERC9-DE.html,Yonex
27,Yonex Percept 97D Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_97D_Tennisschl_xE4_ger/descpageRCYONEX-PERC9Y-DE.html,Yonex
28,Yonex Percept 97H Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_97H_Tennisschl_xE4_ger/descpageRCYONEX-PERC9H-DE.html,Yonex
29,Yonex Percept 97 L Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_97_L_Tennisschl_xE4_ger/descpageRCYONEX-PERC9L-DE.html,Yonex
30,Yonex Percept 100 L Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_100_L_Tennisschl_xE4_ger/descpageRCYONEX-PERC1L-DE.html,Yonex
31,Yonex Percept Game Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_Percept_Game_Tennisschl_xE4_ger/descpageRCYONEX-PERCG-DE.html,Yonex
32,Yonex ASTREL 105 (265g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_ASTREL_105_265g_Tennisschl_xE4_ger/descpageRCYONEX-YAS105-DE.html,Yonex
33,Yonex VCORE 25 Kinder Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_25_Kinder_Tennisschl_xE4_ger/descpageRCYONEX-VCR25-DE.html,Yonex
34,Yonex EZONE 26 (250g) Kinder Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_26_250g_Kinder_Tennisschl_xE4_ger/descpageRCYONEX-EZO26-DE.html,Yonex
35,Yonex EZONE 25 (240g) Kinder Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_25_240g_Kinder_Tennisschl_xE4_ger/descpageRCYONEX-EZO25-DE.html,Yonex
