,names,links,brand
0,Solinco Whiteout XTD+ 98 (305g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Whiteout_XTD_98_305g_Tennisschl_xE4_ger/descpageRCNOASOLH-SWHT28-DE.html,Solinco
1,Solinco Blackout XTD+ 100 (300g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Blackout_XTD_100_300g_Tennisschl_xE4_ger/descpageRCNOASOLH-SBLK28-DE.html,Solinco
2,Solinco Whiteout 98 (305g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Whiteout_98_305g_Tennisschl_xE4_ger/descpageRCNOASOLH-WHTO30-DE.html,Solinco
3,Solinco Whiteout 98 (305g) XTD Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Whiteout_98_305g_XTD_Tennisschl_xE4_ger/descpageRCNOASOLH-WHO30X-DE.html,Solinco
4,Solinco Whiteout  98 (305g) 18x20 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Whiteout_98_305g_18x20_Tennisschl_xE4_ger/descpageRCNOASOLH-WHO18X-DE.html,Solinco
5,Solinco Whiteout 98 (290g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Solinco_Whiteout_98_290g_Tennisschl_xE4_ger/descpageRCNOASOLH-WHTO29-DE.html,Solinco
6,Solinco Blackout 100 (285g) Tennisschl&#xE4;ger ,https://www.tenniswarehouse-europe.com/Solinco_Blackout_100_285g_Tennisschl_xE4_ger/descpageRCNOASOLH-BLKO28-DE.html,Solinco
7,Solinco Blackout 100 (300g) Tennisschl&#xE4;ger ,https://www.tenniswarehouse-europe.com/Solinco_Blackout_100_300g_Tennisschl_xE4_ger/descpageRCNOASOLH-BLKO30-DE.html,Solinco
