HeadSize,Length,StrungWeight,UnStrungWeight,SwingWeight,Balance,Stiffness,BeamWidth1,BeamWidth2,BeamWidth3,NumMains,NumCrosses,MinStringTension,MaxStringTension,StringDensity,Brand,Model,WeightFromName
100.0,69.9,326.0,305.0,331.0,32.49,66.0,21.5,21.5,21.5,16.0,20.0,22.0,29.0,0.3125,ProKennex,ProKennexKiQ+5XPro(305g),305.0
100.0,68.5,318.0,300.0,319.0,32.99,55.0,21.0,21.0,21.0,16.0,19.0,22.0,29.0,0.32894736842105265,ProKennex,ProKennexKiBlackAce(300g),300.0
100.0,68.5,303.0,290.0,315.0,33.48,65.0,24.0,24.0,24.0,16.0,19.0,22.0,29.0,0.32894736842105265,ProKennex,ProKennexKi10(290g)(2022),290.0
98.0,69.9,323.0,305.0,333.0,33.02,67.0,21.7,21.7,21.7,16.0,19.0,22.0,27.0,0.3223684210526316,Solinco,SolincoWhiteout98(305g)XTD,305.0
100.0,68.5,301.0,285.0,315.0,33.99,70.0,23.5,26.0,23.0,16.0,19.0,22.0,27.0,0.32894736842105265,Solinco,SolincoBlackout100(285g),285.0
98.0,68.5,303.0,290.0,314.0,33.48,67.0,21.7,21.7,21.7,16.0,19.0,22.0,27.0,0.3223684210526316,Solinco,SolincoWhiteout98(290g),290.0
100.0,68.5,320.0,300.0,316.0,32.51,71.0,23.5,26.0,23.0,16.0,19.0,22.0,27.0,0.32894736842105265,Solinco,SolincoBlackout100(300g),300.0
98.0,68.58,337.0,320.5833333333333,331.0,32.39,67.0,23.2,23.0,22.0,16.0,19.0,22.0,27.0,0.3223684210526316,Wilson,WilsonRF01PRO,
98.0,68.58,295.0,278.5833333333333,301.0,33.02,64.0,23.2,23.0,22.0,16.0,19.0,22.0,27.0,0.3223684210526316,Wilson,WilsonRF01Future,
98.0,68.58,318.0,301.5833333333333,319.0,32.64,64.0,23.2,23.0,22.0,16.0,19.0,22.0,27.0,0.3223684210526316,Wilson,WilsonRF01,
115.0,70.1,283.0,266.5833333333333,315.0,35.56,69.0,28.0,27.0,27.0,16.0,19.0,21.0,27.0,0.3782894736842105,Volkl,V&#xf6;lklVostraV2,
100.0,68.58,278.0,261.5833333333333,290.0,33.99,69.0,22.5,24.5,22.5,16.0,18.0,22.0,27.0,0.3472222222222222,Volkl,V&#xf6;lklVostraV5,
98.0,68.58,337.0,320.0,327.0,31.98,65.0,20.5,22.5,20.5,16.0,19.0,22.0,27.0,0.3223684210526316,Volkl,V&#xf6;lklVostraV10(320g),320.0
98.0,68.58,318.0,300.0,314.0,33.48,68.0,20.5,22.5,21.0,16.0,19.0,22.0,27.0,0.3223684210526316,Volkl,V&#xf6;lklVostraV10(300g),300.0
100.0,68.58,323.0,305.0,322.0,31.98,61.0,22.0,23.0,20.0,18.0,20.0,20.0,25.0,0.2777777777777778,Prince,PrinceTourCarbon100P(305g),305.0
100.0,68.58,306.0,290.0,318.0,33.02,62.0,22.0,23.0,20.0,16.0,18.0,21.0,27.0,0.3472222222222222,Prince,PrinceTourCarbon100(290g),290.0
98.0,68.58,323.0,305.0,325.0,32.49,62.0,23.0,23.0,20.0,16.0,19.0,21.0,27.0,0.3223684210526316,Prince,PrinceTourCarbon98(305g),305.0
