HeadSize,UnStrungWeight,SwingWeight,Balance,Stiffness,BeamWidth1,BeamWidth2,BeamWidth3,MinStringTension,MaxStringTension,StringDensity
0.5505050505050506,0.4051324051324052,0.06277056277056264,0.8131313131313131,0.7626262626262628,0.5252525252525253,0.8181818181818182,0.8686868686868687,0.7121212121212122,0.6313131313131314,0.5555555555555556
0.18181818181818182,0.48484848484848486,0.05050505050505051,0.6818181818181819,0.20707070707070707,0.08230694037145653,0.06390639063906393,0.13292157241201832,0.7121212121212122,0.6313131313131314,0.7491521715348431
0.18181818181818182,0.7373737373737375,0.7727272727272728,0.44949494949494956,0.20707070707070707,0.13131313131313133,0.09090909090909091,0.21212121212121215,0.7121212121212122,0.6313131313131314,0.30303030303030304
0.5505050505050506,0.2878787878787879,0.05050505050505051,0.44949494949494956,0.36363636363636365,0.8030303030303031,0.9292929292929293,0.8974358974358972,0.7121212121212122,0.6313131313131314,0.5555555555555556
0.8383838383838385,0.10101010101010102,0.21212121212121215,0.8131313131313131,0.7626262626262628,0.5252525252525253,0.37373737373737376,0.6717171717171717,0.7121212121212122,0.6313131313131314,0.20786589297227606
0.5505050505050506,0.9242424242424243,0.691919191919192,0.09090909090909091,0.5606060606060607,0.19696969696969696,0.13636363636363635,0.31818181818181823,0.7121212121212122,0.6313131313131314,0.5555555555555556
0.5505050505050506,0.31216272312162724,0.15151515151515152,0.595959595959596,0.045454545454545456,0.5252525252525253,0.8181818181818182,0.6717171717171717,0.7121212121212122,0.37373737373737376,0.5555555555555556
0.5505050505050506,0.12626262626262627,0.15151515151515152,0.8131313131313131,0.45959595959595967,0.30808080808080807,0.21212121212121213,0.4292929292929293,0.7121212121212122,0.6313131313131314,0.5555555555555556
0.7727272727272727,0.21010101010101012,0.21212121212121215,0.8131313131313131,0.8636363636363638,0.5252525252525253,0.37373737373737376,0.6717171717171717,0.7121212121212122,0.6313131313131314,0.16886253842775584
0.30808080808080807,0.3585858585858586,0.29292929292929293,0.30303030303030304,0.7626262626262628,0.7020202020202021,0.48484848484848486,0.8181818181818182,0.3484848484848485,0.37373737373737376,0.10606060606060608
