HeadSize,Length,StrungWeight,UnStrungWeight,SwingWeight,Balance,Stiffness,BeamWidth1,BeamWidth2,BeamWidth3,NumMains,NumCrosses,MinStringTension,MaxStringTension,StringDensity,Brand,Model
98.0,68.0,323.0,305.0,330.0,33.0,63.0,21.0,23.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Babolat,BabolatPureStrike16x19(2024)
100.0,68.0,303.0,290.0,323.0,34.0,69.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureAeroRafa
100.0,68.0,318.0,300.0,324.0,33.0,63.0,21.0,23.0,21.0,16.0,19.0,21.0,25.0,0.32894736842105265,Babolat,BabolatPureStrike100(2024)
105.0,68.0,272.0,260.0,312.0,35.0,65.0,23.0,26.0,23.0,16.0,19.0,22.0,24.0,0.34539473684210525,Babolat,BabolatBoostWimbledon
102.0,68.0,275.0,260.0,309.0,35.0,65.0,23.0,26.0,23.0,16.0,19.0,22.0,24.0,0.3355263157894737,Babolat,BabolatBoostAeroPink2023
102.0,68.0,289.0,275.0,301.0,33.0,60.0,23.0,26.0,23.0,16.0,18.0,22.0,24.0,0.3541666666666667,Babolat,BabolatEvoAero2022
100.0,68.0,303.0,285.0,307.0,34.0,64.0,21.0,23.0,21.0,16.0,19.0,21.0,25.0,0.32894736842105265,Babolat,BabolatPureStrikeTeam(2024)
102.0,68.0,275.0,260.0,294.0,34.0,60.0,23.0,26.0,23.0,16.0,18.0,22.0,24.0,0.3541666666666667,Babolat,BabolatEvoAeroLitePink2022
115.0,70.0,255.0,240.0,313.0,35.0,67.0,25.0,28.0,24.0,16.0,17.0,22.0,27.0,0.4227941176470588,Babolat,BabolatEvoDrive115Wimbledon
102.0,68.0,275.0,260.0,294.0,34.0,60.0,23.0,26.0,23.0,16.0,18.0,22.0,24.0,0.3541666666666667,Babolat,BabolatEvoAeroLite2022
102.0,68.0,295.0,280.0,309.0,33.0,66.0,23.0,24.0,23.0,16.0,19.0,22.0,24.0,0.3355263157894737,Babolat,BabolatEvoStrike
105.0,68.0,275.0,260.0,314.0,35.0,67.0,23.0,26.0,23.0,16.0,19.0,23.0,25.0,0.34539473684210525,Babolat,BabolatBoostDriveW
104.0,68.0,283.0,270.0,302.0,33.0,68.0,23.0,26.0,23.0,16.0,17.0,22.0,24.0,0.38235294117647056,Babolat,BabolatEvoDrive
100.0,68.0,318.0,300.0,322.0,33.0,65.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureAero2023
102.0,68.0,275.0,260.0,309.0,35.0,65.0,23.0,26.0,23.0,16.0,19.0,22.0,24.0,0.3355263157894737,Babolat,BabolatBoostAero2023
102.0,68.0,278.0,260.0,308.0,35.0,68.0,23.0,26.0,23.0,16.0,19.0,22.0,24.0,0.3355263157894737,Babolat,BabolatBoostRafa2
103.0,68.0,301.0,285.0,303.0,33.0,65.0,21.0,23.0,21.0,16.0,19.0,22.0,26.0,0.33881578947368424,Babolat,BabolatPureStrike103
102.0,68.0,289.0,275.0,301.0,33.0,60.0,23.0,26.0,23.0,16.0,18.0,22.0,24.0,0.3541666666666667,Babolat,BabolatEvoAeroPink2022
100.0,68.0,301.0,285.0,302.0,32.0,67.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureAeroTeam2023
100.0,68.0,272.0,255.0,303.0,34.0,69.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureDriveSuperLite
110.0,70.0,269.0,255.0,298.0,34.0,70.0,24.0,26.0,23.0,16.0,19.0,22.0,26.0,0.3618421052631579,Babolat,BabolatPureDrive110
100.0,68.0,323.0,305.0,320.0,32.0,60.0,21.0,23.0,21.0,16.0,20.0,21.0,25.0,0.3125,Babolat,BabolatPureStrike10016x20(2024)
100.0,68.0,301.0,285.0,313.0,32.0,69.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureDriveTeam
100.0,68.0,337.0,317.0,371.0,34.0,70.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureAeroRafaOrigin
97.0,68.0,332.0,310.0,322.0,32.0,63.0,21.0,22.0,21.0,16.0,20.0,22.0,26.0,0.303125,Babolat,BabolatPureStrikeVS
100.0,69.0,318.0,300.0,324.0,33.0,69.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureDrivePlus
100.0,68.0,283.0,270.0,299.0,34.0,69.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureDriveLite
102.0,68.0,303.0,285.0,318.0,33.0,68.0,23.0,26.0,23.0,16.0,17.0,22.0,24.0,0.375,Babolat,BabolatEvoDriveTour
104.0,68.0,269.0,255.0,295.0,33.0,67.0,23.0,26.0,23.0,16.0,17.0,22.0,24.0,0.38235294117647056,Babolat,BabolatEvoDriveLite
98.0,68.0,323.0,305.0,332.0,33.0,63.0,21.0,23.0,21.0,18.0,20.0,21.0,25.0,0.2722222222222222,Babolat,BabolatPureStrike18x20
100.0,68.0,318.0,300.0,320.0,33.0,71.0,23.0,26.0,23.0,16.0,19.0,23.0,27.0,0.32894736842105265,Babolat,BabolatPureDrive
98.0,68.0,323.0,305.0,332.0,33.0,63.0,21.0,23.0,21.0,18.0,20.0,21.0,25.0,0.2722222222222222,Babolat,BabolatPureStrike18x20(2024)
100.0,68.0,283.0,270.0,304.0,34.0,65.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Babolat,BabolatPureAeroLite2023
100.0,68.0,318.0,300.0,320.0,33.0,71.0,23.0,26.0,23.0,16.0,19.0,22.0,27.0,0.32894736842105265,Babolat,BabolatPureDriveWimbledon
98.0,68.0,323.0,305.0,327.0,32.0,65.0,21.0,23.0,21.0,16.0,20.0,22.0,26.0,0.30625,Babolat,BabolatPureAero98x2
100.0,68.0,283.0,270.0,301.0,33.0,62.0,23.0,24.0,22.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADBoomMPLAlternate2024
98.0,68.0,320.0,305.0,317.0,32.0,63.0,22.0,23.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HEADExtremeTour2022
100.0,68.0,295.0,280.0,308.0,33.0,64.0,23.0,26.0,21.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADExtremeMPL2024
98.0,68.0,332.0,315.0,325.0,32.0,64.0,20.0,21.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HeadRadicalPro2023
100.0,68.0,289.0,275.0,302.0,33.0,61.0,23.0,26.0,21.0,16.0,19.0,23.0,28.0,0.32894736842105265,Head,HEADExtremeTeam2022
98.0,68.0,323.0,305.0,322.0,32.0,64.0,22.0,23.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HEADExtremePro2024
107.0,69.0,275.0,260.0,310.0,34.0,63.0,25.0,25.0,22.0,16.0,19.0,21.0,25.0,0.3519736842105263,Head,HEADBoomTeamL2024
105.0,68.0,278.0,265.0,304.0,34.0,61.0,23.0,26.0,22.0,16.0,19.0,23.0,28.0,0.34539473684210525,Head,HEADExtremeTeam2024
98.0,68.0,337.0,320.0,324.0,32.0,58.0,20.0,20.0,20.0,18.0,20.0,21.0,25.0,0.2722222222222222,Head,HEADPrestigePro2023
98.0,68.0,332.0,315.0,330.0,32.0,65.0,20.0,21.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HeadGraphene360+RadicalPro
104.0,68.0,283.0,270.0,301.0,34.0,63.0,24.0,24.0,24.0,16.0,20.0,21.0,25.0,0.325,Head,HEADGravityTeamL2023
100.0,68.0,312.0,295.0,319.0,33.0,59.0,22.0,22.0,22.0,16.0,20.0,21.0,25.0,0.3125,Head,HEADGravityMP2023
107.0,69.0,275.0,260.0,310.0,34.0,63.0,25.0,25.0,22.0,16.0,19.0,21.0,25.0,0.3519736842105263,Head,HEADBoomTeamL2024Alternate
98.0,68.0,329.0,310.0,325.0,32.0,66.0,22.0,22.0,22.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HeadBoomPro2022
100.0,68.0,295.0,280.0,,33.0,,22.0,22.0,22.0,16.0,20.0,21.0,25.0,0.3125,Head,HEADGravityMPL2023
102.0,68.0,295.0,280.0,305.0,33.0,63.0,22.0,25.0,23.0,16.0,19.0,21.0,25.0,0.3355263157894737,Head,HeadRadicalTeam2023
100.0,68.0,332.0,315.0,334.0,32.0,63.0,20.0,20.0,20.0,18.0,20.0,21.0,25.0,0.2777777777777778,Head,HEADGravityPro2023
100.0,68.0,312.0,295.0,317.0,32.0,66.0,23.0,24.0,22.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADBoomMP2024
102.0,68.0,289.0,275.0,309.0,33.0,62.0,25.0,25.0,22.0,16.0,19.0,21.0,25.0,0.3355263157894737,Head,HEADBoomTeam2024
100.0,68.0,312.0,295.0,317.0,32.0,66.0,23.0,24.0,22.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADBoomMPAlternate2024
98.0,68.0,318.0,300.0,321.0,33.0,65.0,20.0,23.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HeadGraphene360+RadicalMP
98.0,68.0,326.0,310.0,323.0,32.0,64.0,22.0,22.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HEADBoomPro2024
95.0,68.0,332.0,315.0,330.0,32.0,62.0,22.0,22.0,22.0,16.0,19.0,21.0,25.0,0.3125,Head,HEADPrestigeTour2023
99.0,68.0,326.0,310.0,327.0,33.0,62.0,21.0,21.0,21.0,18.0,19.0,21.0,25.0,0.2894736842105263,Head,HEADPrestigeMP2023
100.0,68.0,283.0,270.0,301.0,33.0,62.0,23.0,24.0,22.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADBoomMPL2024
98.0,68.0,318.0,300.0,323.0,33.0,65.0,20.0,23.0,21.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HeadRadicalMP2023
100.0,68.0,329.0,310.0,333.0,32.0,60.0,23.0,23.0,23.0,18.0,20.0,21.0,26.0,0.2777777777777778,Head,HEADSpeedProLegend2024
100.0,68.0,318.0,300.0,323.0,33.0,66.0,23.0,26.0,21.0,16.0,19.0,23.0,28.0,0.32894736842105265,Head,HEADExtremeMP2024
100.0,68.0,315.0,300.0,323.0,33.0,62.0,23.0,23.0,23.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADSpeedMP2024
104.0,68.0,301.0,285.0,311.0,33.0,60.0,24.0,24.0,24.0,16.0,20.0,21.0,25.0,0.325,Head,HEADGravityTeam2023
100.0,68.0,315.0,300.0,323.0,33.0,62.0,23.0,23.0,23.0,16.0,19.0,21.0,26.0,0.32894736842105265,Head,HEADSpeedMPLegend2024
100.0,68.0,318.0,300.0,322.0,33.0,66.0,23.0,26.0,21.0,16.0,19.0,23.0,28.0,0.32894736842105265,Head,HEADExtremeMP2022
102.0,68.0,278.0,260.0,301.0,34.0,65.0,22.0,25.0,23.0,16.0,19.0,21.0,25.0,0.3355263157894737,Head,HeadRadicalTeamL2023
97.0,68.0,346.0,330.0,333.0,32.0,62.0,21.0,21.0,21.0,16.0,19.0,20.0,27.0,0.3190789473684211,Yonex,YonexPercept97H
98.0,68.0,301.0,285.0,311.0,33.0,61.0,23.0,23.0,21.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexVCORE98L(285g)2023
100.0,68.0,318.0,300.0,317.0,32.0,67.0,23.0,26.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexEZONE100(300g)AquaNight
100.0,68.0,320.0,305.0,318.0,32.0,66.0,23.0,23.0,23.0,18.0,20.0,20.0,27.0,0.2777777777777778,Yonex,YonexPercept100D
97.0,68.0,306.0,290.0,310.0,33.0,66.0,21.0,21.0,21.0,16.0,19.0,20.0,27.0,0.3190789473684211,Yonex,YonexPercept97L
98.0,68.0,301.0,285.0,310.0,34.0,65.0,23.0,24.0,19.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexEZONE98L(285g)
100.0,68.0,298.0,285.0,308.0,33.0,69.0,23.0,26.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexEZONE100L(285g)
100.0,68.0,315.0,300.0,318.0,33.0,66.0,23.0,23.0,23.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexPercept100
100.0,68.0,320.0,300.0,322.0,33.0,65.0,25.0,25.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexVCORE100(300g)2023
100.0,68.0,298.0,280.0,312.0,34.0,66.0,25.0,25.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexVCORE100LSandBeige(280g)(2024)
105.0,68.0,278.0,265.0,305.0,34.0,69.0,27.0,28.0,25.0,16.0,17.0,18.0,24.0,0.3860294117647059,Yonex,YonexASTREL105(265g)
100.0,68.0,298.0,285.0,308.0,33.0,69.0,23.0,26.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexEZONE100L(285g)AquaNight
119.0,69.0,272.0,255.0,302.0,34.0,66.0,26.0,29.0,24.0,16.0,18.0,18.0,24.0,0.4131944444444444,Yonex,YonexEZONE110(255g)
100.0,68.0,318.0,300.0,317.0,32.0,67.0,23.0,26.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexEZONE100(300g)
98.0,68.0,332.0,310.0,326.0,33.0,63.0,23.0,23.0,21.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexVCORE98Tour2023
100.0,68.0,320.0,300.0,322.0,33.0,65.0,25.0,25.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexVCORE100SandBeige(300g)(2024)
95.0,68.0,326.0,310.0,321.0,32.0,61.0,22.0,22.0,21.0,16.0,19.0,20.0,27.0,0.3125,Yonex,YonexVCORE95(310g)2023
100.0,68.0,298.0,280.0,312.0,34.0,66.0,25.0,25.0,22.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexVCORE100L(280g)2023
98.0,68.0,323.0,305.0,318.0,32.0,62.0,23.0,23.0,21.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexVCORE98(305g)2023
98.0,68.0,332.0,315.0,332.0,33.0,64.0,23.0,24.0,19.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexEZONE98Tour(315g)
98.0,68.0,323.0,305.0,318.0,32.0,62.0,23.0,23.0,21.0,16.0,19.0,20.0,27.0,0.3223684210526316,Yonex,YonexVCORE98SandBeige(305g)(2024)
97.0,68.0,326.0,310.0,315.0,32.0,60.0,21.0,21.0,21.0,16.0,19.0,20.0,27.0,0.3190789473684211,Yonex,YonexPercept97
100.0,68.0,295.0,280.0,313.0,34.0,66.0,23.0,23.0,23.0,16.0,19.0,20.0,27.0,0.32894736842105265,Yonex,YonexPercept100L
97.0,68.0,337.0,320.0,329.0,32.0,62.0,21.0,21.0,21.0,18.0,20.0,20.0,27.0,0.26944444444444443,Yonex,YonexPercept97D
98.0,68.0,320.0,305.0,300.0,32.0,74.0,24.0,24.0,25.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTF-X1305v2
98.0,68.0,323.0,305.0,328.0,33.0,64.0,22.0,22.0,22.0,18.0,20.0,22.0,24.0,0.2722222222222222,Technifibre,TecnifibreTF40(305)18x20
98.0,68.0,320.0,305.0,321.0,33.0,64.0,22.0,22.0,22.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTF40(305)16x19
105.0,68.0,289.0,275.0,310.0,34.0,69.0,25.0,25.0,24.0,16.0,19.0,22.0,24.0,0.34539473684210525,Technifibre,TecnifibreTF-X1275
98.0,68.0,312.0,285.0,325.0,33.0,71.0,23.0,23.0,23.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTempo298Iga
98.0,68.0,318.0,300.0,320.0,33.0,66.0,22.0,22.0,22.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTFightISO300
100.0,68.0,300.0,285.0,,33.0,,24.0,24.0,24.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTF-X1285v2
98.0,68.0,329.0,315.0,324.0,32.0,69.0,22.0,22.0,22.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTFightISO315
98.0,68.0,320.0,305.0,338.0,33.0,64.0,22.0,22.0,22.0,18.0,19.0,22.0,24.0,0.28654970760233917,Technifibre,TecnifibreTFightISO305
100.0,68.0,315.0,300.0,,33.0,,24.0,24.0,25.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTF-X1300v2
100.0,68.0,312.0,295.0,324.0,33.0,70.0,23.0,23.0,23.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTFightISO295
100.0,68.0,298.0,280.0,310.0,33.0,68.0,243.0,23.0,23.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTFightISO280
100.0,68.0,285.0,270.0,,33.0,,24.0,24.0,24.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTF-X1270v2
98.0,68.0,332.0,315.0,313.0,31.0,64.0,22.0,22.0,22.0,16.0,19.0,22.0,24.0,0.3223684210526316,Technifibre,TecnifibreTF40(315)16x19
98.0,68.0,332.0,315.0,315.0,32.0,64.0,22.0,22.0,22.0,18.0,20.0,22.0,24.0,0.2722222222222222,Technifibre,TecnifibreTF40(315)18x20
100.0,68.0,270.0,255.0,,33.0,,24.0,24.0,25.0,16.0,19.0,22.0,24.0,0.32894736842105265,Technifibre,TecnifibreTF-X1255v2
110.0,69.0,272.0,265.0,321.0,36.0,76.0,26.0,27.0,26.0,16.0,18.0,18.0,24.0,0.3819444444444444,Dunlop,DunlopLX800(255g)
100.0,68.0,318.0,300.0,317.0,33.0,66.0,23.0,23.0,23.0,16.0,19.0,20.0,29.0,0.32894736842105265,Dunlop,DunlopCX400Tour(300g)
115.0,69.0,269.0,255.0,321.0,37.0,75.0,27.0,28.0,26.0,16.0,18.0,18.0,24.0,0.3993055555555556,Dunlop,DunlopLX1000(255g)
95.0,68.0,332.0,315.0,316.0,32.0,66.0,20.0,20.0,20.0,18.0,20.0,20.0,29.0,0.2638888888888889,Dunlop,DunlopCX200Tour18x20(315g)
100.0,68.0,318.0,300.0,322.0,33.0,68.0,23.0,26.0,23.0,16.0,19.0,20.0,29.0,0.32894736842105265,Dunlop,DunlopSX300
95.0,68.0,326.0,310.0,318.0,32.0,63.0,20.0,20.0,20.0,16.0,19.0,20.0,29.0,0.3125,Dunlop,DunlopSrixonCX200Tour16x19(310g)
105.0,68.0,312.0,295.0,313.0,33.0,61.0,21.0,21.0,21.0,16.0,19.0,18.0,27.0,0.34539473684210525,Dunlop,DunlopSrixonCX200OS(295g)
98.0,68.0,323.0,305.0,317.0,32.0,64.0,21.0,21.0,21.0,16.0,19.0,20.0,29.0,0.3223684210526316,Dunlop,DunlopSrixonCX200(305g)
110.0,69.0,272.0,265.0,321.0,36.0,76.0,26.0,27.0,26.0,16.0,18.0,18.0,24.0,0.3819444444444444,Dunlop,DunlopLX800(255g)2024
115.0,69.0,269.0,255.0,305.0,37.0,75.0,27.0,28.0,26.0,16.0,18.0,18.0,25.0,0.3993055555555556,Dunlop,DunlopLX1000(255g)2024
98.0,68.0,303.0,290.0,314.0,33.0,64.0,21.0,21.0,21.0,16.0,19.0,20.0,29.0,0.3223684210526316,Dunlop,DunlopCX200LS(290g)&#xC2;&#xA0;
95.0,68.0,326.0,310.0,314.0,32.0,66.0,20.0,20.0,20.0,16.0,19.0,20.0,29.0,0.3125,Dunlop,DunlopCX200Tour16x19(310g)
95.0,68.0,332.0,315.0,319.0,32.0,62.0,20.0,20.0,20.0,18.0,20.0,20.0,29.0,0.2638888888888889,Dunlop,DunlopSrixonCX200Tour18x20(315g)
100.0,68.0,301.0,285.0,314.0,34.0,71.0,24.0,24.0,24.0,16.0,19.0,20.0,29.0,0.32894736842105265,Dunlop,DunlopCX400
105.0,68.0,312.0,295.0,319.0,33.0,63.0,21.0,21.0,21.0,16.0,19.0,18.0,27.0,0.34539473684210525,Dunlop,DunlopCX200OS(295g)
100.0,68.0,326.0,310.0,317.0,32.0,68.0,24.0,26.0,23.0,16.0,19.0,22.0,27.0,0.32894736842105265,Volkl,V&#xF6;lklV-Cell9
102.0,68.0,320.0,305.0,326.0,33.0,64.0,27.0,25.0,22.0,16.0,19.0,21.0,27.0,0.3355263157894737,Volkl,VolklV1EVO
100.0,68.0,323.0,310.0,316.0,33.0,65.0,21.0,21.0,21.0,16.0,19.0,22.0,27.0,0.32894736842105265,Volkl,V&#xF6;lklVostraV9(305g)2024
102.0,68.0,301.0,285.0,302.0,33.0,68.0,25.0,22.0,28.0,16.0,19.0,22.0,27.0,0.3355263157894737,Volkl,V&#xF6;lklV-CellV1MP
98.0,68.0,349.0,330.0,326.0,31.0,62.0,20.0,20.0,20.0,16.0,19.0,22.0,27.0,0.3223684210526316,Volkl,V&#xF6;lklC10Pro
110.0,70.0,298.0,285.0,310.0,33.0,68.0,26.0,23.0,29.0,16.0,19.0,22.0,27.0,0.3618421052631579,Volkl,V&#xF6;lklV-CellV1OS
